Altium Designer Pick and Place Locations
D:\Gonzalo\UTN\6to Año\IDCI\IDCI_TPO_SFARA\PCB_Project\Project Outputs for PowerMeter\Pick Place for PowerMeter_Panel.txt

========================================================================================================================
File Design Information:

Date:       22/02/22
Time:       01:12
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment                                                                             Layer       Footprint       Center-X(mil) Center-Y(mil) Rotation Description                                                                                              
U1         LNK304                                                                              BottomLayer LNK304          560.000       -625.000      0        "AC to DC Switching Converter Buck 70kHz T/R 7-Pin SO-C"                                                 
C3         Comment                                                                             TopLayer    CAP100RP        1030.000      -675.000      90       ""                                                                                                       
C1         Comment                                                                             TopLayer    CAP100RP        755.000       -955.000      90       ""                                                                                                       
C4         Comment                                                                             TopLayer    CAP400RP        -5.000        -30.000       90       ""                                                                                                       
C5         Comment                                                                             TopLayer    CAP400RP        275.000       -640.000      270      ""                                                                                                       
D5         "DIODE_TVS - VTVS12ASMF-M3-18"                                                      TopLayer    SOD_923         -445.000      -1105.000     270      "Esd Protection Diode Smf Do219Ab5%; 12.4V; ir0.05 A; ip19.5A; p400W; cd807Pf"                           
T2         "Current Transformer"                                                               TopLayer    CT              562.500       25.000        0        "Current Transformer"                                                                                    
J2         Comment                                                                             TopLayer    SSD1306         -1040.000     -399.904      240      ""                                                                                                       
D6         "Standard Rectifier 1000V SOD-123"                                                  BottomLayer SOD_123         950.000       -165.000      90       ""                                                                                                       
D1         "Standard Rectifier 1000V SOD-123"                                                  BottomLayer SOD_123         925.000       -915.000      225      ""                                                                                                       
D2         "Standard Rectifier 1000V SOD-123"                                                  BottomLayer SOD_123         330.000       -160.000      180      "Standard Rectifier 1000V SOD-123"                                                                       
RELE       "Relay; 10 A; 12 VDC; PCB; PC Board; SPST-NO; 320 Ohms; 450 mW (Nom.)  T77V1D10-12" TopLayer    RELE_SERIE_964  850.000       -170.000      180      "Relay; 10 A; 12 VDC; PCB; PC Board; SPST-NO; 320 Ohms; 450 mW (Nom.)"                                   
R24        "RES 10kOhm 5% 1/8W"                                                                BottomLayer R_0805          755.000       -155.000      90       "Res Thick Film 0805 10K Ohm 5% 1/8W ±200ppm/°C Molded SMD SMD Paper T/R"                                
R23        "RES 10kOhm 5% 1/8W"                                                                BottomLayer R_0805          855.000       -155.000      90       "Res Thick Film 0805 10K Ohm 5% 1/8W ±200ppm/°C Molded SMD SMD Paper T/R"                                
X1         "Crystal 8.192MHz ±30ppm"                                                           BottomLayer ABM3C           390.000       1145.000      180      "Crystal 8.192MHz ±30ppm (Tol) ±50ppm (Stability) 12pF FUND 100Ohm Automotive 2-Pin Mini-CSMD T/R"       
U5         "OPTOACOPLADOR H11L1S1(TA)"                                                         BottomLayer OPTO_GULLWINGx6 -235.000      1050.000      225      "Optocoupler Logic-Out DC-IN 1-CH 6-Pin SOIC T/R"                                                        
U4         ESP-WROOM-02D                                                                       TopLayer    ESP-WROOM-02D   -563.700      493.700       45       "Wi-Fi Module ESP8266EX SPI 2MB Flash UART w/ Antenna"                                                   
